date,Q_sim_m3s,Q_obs_m3s,P_mm,Period
1951-03-08,0.447370141060524,0.743,0.0,Calibration
1951-03-09,36.41631654616749,9.753,42.8,Calibration
1951-03-10,4.80827051415643,0.777,0.0,Calibration
1951-03-11,0.848916196105051,0.761,0.0,Calibration
1951-03-12,0.47678255124313007,0.746,0.0,Calibration
1951-03-13,1.1050765914314413,0.747,2.0,Calibration
1951-03-14,0.536917257733664,0.732,0.0,Calibration
1951-03-15,0.428146889662424,0.717,0.0,Calibration
1951-03-16,14.758597411172287,3.384,18.0,Calibration
1951-03-17,2.1571757155543283,0.752,0.0,Calibration
1951-03-18,0.5749845457788461,0.737,0.0,Calibration
1951-03-19,0.420514965508935,0.722,0.0,Calibration
1951-03-20,0.3958263031781802,0.708,0.0,Calibration
1951-03-21,0.3798552736636684,0.694,0.0,Calibration
1951-03-22,26.90637502614209,5.899,32.0,Calibration
1951-03-23,9.768679788189024,1.063,8.5,Calibration
1951-03-24,1.450573992086999,0.778,0.0,Calibration
1951-03-25,0.5078437643985936,0.762,0.0,Calibration
1951-03-26,4.504057187328063,0.79,6.0,Calibration
1951-03-27,21.039757052135304,6.395,24.7,Calibration
1951-03-28,2.9622529535352387,0.826,0.5,Calibration
1951-03-29,0.7004893521822165,0.809,0.0,Calibration
1951-03-30,0.4898878333899959,0.793,0.0,Calibration
1951-03-31,0.4645636049076907,0.777,0.0,Calibration
1951-04-01,0.45059326161850627,0.762,0.0,Calibration
1951-04-02,0.43486374287146123,0.746,0.0,Calibration
1951-04-03,0.4172676304108391,0.732,0.0,Calibration
1951-04-04,44.49681195244731,11.081,52.0,Calibration
1951-04-05,39.51155981637232,19.286,40.3,Calibration
1951-04-06,7.4412400084615005,0.86,4.0,Calibration
1951-04-07,1.3191021079393976,0.853,1.0,Calibration
1951-04-08,0.5785148647337605,0.836,0.0,Calibration
1951-04-09,0.7454933973115092,0.831,1.2,Calibration
1951-04-10,1.646886925072822,0.834,2.2,Calibration
1951-04-11,1.0420921977193125,0.828,1.2,Calibration
1951-04-12,0.5838188195237991,0.811,0.0,Calibration
1951-04-13,0.5535310298477196,0.799,0.5,Calibration
1951-04-14,0.49147385435032903,0.783,0.0,Calibration
1951-04-15,0.4687625565445014,0.767,0.0,Calibration
1951-04-16,0.44988105428622305,0.752,0.0,Calibration
1951-04-17,2.4753648655869664,0.756,3.5,Calibration
1951-04-18,6.564906093657561,0.785,8.1,Calibration
1951-04-19,13.92218608659886,2.285,16.2,Calibration
1951-04-20,18.43255280340861,4.682,20.4,Calibration
1951-04-21,3.120309945239341,0.878,1.8,Calibration
1951-04-22,9.599390469872718,2.038,11.2,Calibration
1951-04-23,1.9680466146981808,0.919,1.5,Calibration
1951-04-24,4.114767864901333,0.937,4.8,Calibration
1951-04-25,13.517535124735256,3.708,16.0,Calibration
1951-04-26,17.328353638932743,5.641,19.09,Calibration
